id,timestep,F_x,F_y,F_z,T_x,T_y,T_z
4,3,-2,1,22,5,-6,0
4,4,-2,1,20,5,-6,0
4,5,-2,2,22,4,-7,-1
4,6,-2,2,20,5,-6,-1
4,7,-2,2,20,5,-7,-1
4,8,-2,1,19,5,-7,0
4,9,0,0,16,4,-1,0
4,10,-3,2,20,3,-6,0
4,11,-1,0,25,4,-6,-1
4,12,-2,1,28,5,-4,0
4,13,-2,4,12,-1,-8,-1
4,14,-3,0,4,6,-8,0
4,15,-5,4,38,-1,-16,-1
5,1,-2,1,19,4,-6,0
5,2,-2,1,19,4,-6,0
5,3,-2,2,20,4,-5,-1
5,4,-2,2,20,4,-5,-1
5,5,-2,1,20,3,-6,0
5,6,-2,1,21,4,-5,0
5,7,-2,1,19,4,-6,0
5,8,-2,2,19,4,-6,-1
5,9,-4,3,19,0,-10,0
5,10,-2,1,6,3,-6,0
5,11,-2,1,18,5,-4,-1
5,12,-2,0,20,4,-3,-2
5,13,-3,3,32,2,-6,-1
5,14,-2,1,14,3,-4,0
5,15,0,0,23,6,-3,-1
6,1,-1,1,19,4,-6,0
6,2,-2,2,18,4,-6,0
6,3,-2,1,19,4,-6,0
6,4,-2,1,19,4,-6,0
6,5,-2,1,19,4,-6,0
6,6,-2,1,19,4,-6,0
6,7,-2,1,21,5,-6,0
6,8,-1,2,21,3,-6,1
6,9,0,1,14,1,-3,0
6,10,-6,5,11,-4,-12,0
6,11,-4,1,4,5,-6,0
6,12,0,0,2,8,-5,0
6,13,0,1,36,3,-1,-1
6,14,0,1,14,5,-3,1
6,15,1,0,24,11,-2,0
7,1,-2,1,19,4,-6,0
7,2,-2,1,18,3,-5,0
7,3,-2,1,19,3,-5,0
7,4,-2,1,19,3,-5,0
7,5,-2,1,23,3,-5,0
7,6,-2,1,21,4,-5,0
7,7,-2,1,19,4,-6,0
7,8,-1,2,21,4,-5,1
7,9,-3,2,3,-2,-8,2
7,10,0,0,24,6,-4,0
7,11,-2,1,16,4,-3,0
7,12,-5,4,26,-1,-6,1
7,13,-3,1,19,4,-6,0
7,14,-2,0,33,6,-6,0
7,15,-2,1,16,5,-9,0
8,1,-1,2,21,3,-6,1
8,2,-1,2,17,3,-6,0
8,3,-1,2,21,3,-6,1
8,4,-1,2,19,4,-6,1
8,5,-1,2,19,4,-6,1
8,6,-1,2,21,3,-6,1
8,7,-1,2,19,4,-6,1
8,8,-1,2,19,4,-6,1
8,9,-4,4,12,1,-11,0
8,10,-2,2,21,2,-7,0
8,11,1,0,29,7,-1,0
8,12,-1,2,17,3,-5,0
8,13,2,0,32,6,-1,0
8,14,0,3,17,2,-10,1
8,15,2,0,17,8,-1,0
9,1,0,1,15,3,-3,0
9,2,-2,1,32,3,-7,0
9,3,-1,2,4,-1,-7,0
9,4,-1,1,6,5,-6,0
9,5,2,0,17,3,-4,0
9,6,2,0,28,3,-3,-1
9,7,2,1,24,1,-4,0
9,8,0,1,17,3,-4,1
9,9,-1,2,18,-2,-6,0
9,10,0,0,16,1,-6,-1
9,11,-1,2,11,-1,-8,0
9,12,0,0,18,1,-5,-1
9,13,0,0,11,2,-8,0
9,14,-1,0,-1,3,-4,0
9,15,1,0,25,0,-3,-2
10,1,-1,2,4,-1,-7,0
10,2,-1,1,6,5,-6,0
10,3,2,0,17,3,-4,0
10,4,2,0,28,3,-3,-1
10,5,2,1,24,1,-4,0
10,6,0,1,17,3,-4,1
10,7,-1,2,18,-2,-6,0
10,8,0,0,16,1,-6,-1
10,9,-1,2,11,-1,-8,0
10,10,0,0,18,1,-5,-1
10,11,0,0,11,2,-8,0
10,12,-1,0,-1,3,-4,0
10,13,1,0,25,0,-3,-2
10,14,0,0,22,2,-6,0
10,15,1,0,17,2,-4,0
11,1,2,0,17,3,-4,0
11,2,2,0,28,3,-3,-1
11,3,2,1,24,1,-4,0
11,4,0,1,17,3,-4,1
11,5,-1,2,18,-2,-6,0
11,6,0,0,16,1,-6,-1
11,7,-1,2,11,-1,-8,0
11,8,0,0,18,1,-5,-1
11,9,0,0,11,2,-8,0
11,10,-1,0,-1,3,-4,0
11,11,1,0,25,0,-3,-2
11,12,0,0,22,2,-6,0
11,13,1,0,17,2,-4,0
11,14,2,0,27,3,-2,-1
11,15,2,0,15,0,-4,-1
12,1,0,1,17,3,-4,1
12,2,-1,2,18,-2,-6,0
12,3,0,0,16,1,-6,-1
12,4,-1,2,11,-1,-8,0
12,5,0,0,18,1,-5,-1
12,6,0,0,11,2,-8,0
12,7,-1,0,-1,3,-4,0
12,8,1,0,25,0,-3,-2
12,9,0,0,22,2,-6,0
12,10,1,0,17,2,-4,0
12,11,2,0,27,3,-2,-1
12,12,2,0,15,0,-4,-1
12,13,0,0,19,-1,-3,-1
12,14,0,0,11,2,-4,0
12,15,0,0,6,0,-7,0
13,1,-1,2,18,-2,-6,0
13,2,0,0,16,1,-6,-1
13,3,-1,2,11,-1,-8,0
13,4,0,0,18,1,-5,-1
13,5,0,0,11,2,-8,0
13,6,-1,0,-1,3,-4,0
13,7,1,0,25,0,-3,-2
13,8,0,0,22,2,-6,0
13,9,1,0,17,2,-4,0
13,10,2,0,27,3,-2,-1
13,11,2,0,15,0,-4,-1
13,12,0,0,19,-1,-3,-1
13,13,0,0,11,2,-4,0
13,14,0,0,6,0,-7,0
13,15,-1,1,13,-4,-9,0
14,1,0,0,16,1,-6,-1
14,2,-1,2,11,-1,-8,0
14,3,0,0,18,1,-5,-1
14,4,0,0,11,2,-8,0
14,5,-1,0,-1,3,-4,0
14,6,1,0,25,0,-3,-2
14,7,0,0,22,2,-6,0
14,8,1,0,17,2,-4,0
14,9,2,0,27,3,-2,-1
14,10,2,0,15,0,-4,-1
14,11,0,0,19,-1,-3,-1
14,12,0,0,11,2,-4,0
14,13,0,0,6,0,-7,0
14,14,-1,1,13,-4,-9,0
14,15,-2,0,10,-4,-7,-2
15,1,-1,2,18,4,-7,0
15,2,-1,2,18,4,-7,1
15,3,-1,2,19,4,-6,1
15,4,-1,2,19,4,-6,1
15,5,-1,2,19,4,-6,1
15,6,-1,2,19,4,-6,1
15,7,-2,1,19,4,-6,0
15,8,-1,2,18,5,-6,0
15,9,-1,2,24,2,-9,0
15,10,0,-1,16,9,-3,-1
15,11,-2,3,29,4,-8,-1
15,12,-1,0,-4,4,-6,0
15,13,-2,1,23,2,-12,0
15,14,0,1,8,4,-2,0
15,15,0,1,17,1,-3,0
16,1,-2,1,19,3,-6,0
16,2,-2,1,18,3,-5,1
16,3,-2,1,21,3,-5,0
16,4,-2,0,19,3,-5,1
16,5,-2,1,21,3,-5,0
16,6,-2,1,18,3,-5,0
16,7,-2,1,19,3,-5,0
16,8,-2,0,19,2,-6,1
16,9,-2,0,19,1,-4,1
16,10,-5,4,18,-3,-12,1
16,11,-2,0,14,3,-4,0
16,12,-2,1,26,2,-6,0
16,13,-4,2,11,0,-9,0
16,14,-2,0,22,4,-4,-1
16,15,-1,1,17,0,-6,1
17,1,-2,1,19,4,-6,0
17,2,-2,1,18,4,-7,0
17,3,-2,1,20,5,-6,0
17,4,-2,1,21,5,-6,0
17,5,-2,1,21,3,-6,0
17,6,-2,1,21,5,-6,0
17,7,-2,1,21,5,-6,0
17,8,-2,1,21,3,-6,0
17,9,-2,2,15,2,-9,0
17,10,-1,1,29,3,-3,-1
17,11,0,1,23,4,-4,0
17,12,0,-1,3,5,-5,0
17,13,0,0,26,5,-4,0
17,14,-2,4,19,1,-11,-1
17,15,0,0,24,2,-3,-1
18,1,-4,0,8,5,-1,2
18,2,-4,0,7,5,-2,3
18,3,-4,1,7,5,-2,2
18,4,-4,0,9,6,-2,2
18,5,-5,1,5,5,-1,2
18,6,-4,0,7,5,-2,2
18,7,-5,1,8,6,-2,2
18,8,-4,1,8,5,-1,2
18,9,-4,0,9,5,0,0
18,10,-3,-1,10,7,-3,1
18,11,-1,-1,13,8,7,1
18,12,-6,2,15,4,-4,1
18,13,-5,0,8,8,-1,1
18,14,-3,1,22,7,1,0
18,15,-4,1,-6,2,-2,1
19,1,-4,1,7,5,-2,2
19,2,-4,0,7,5,-2,3
19,3,-4,1,8,6,-3,2
19,4,-5,1,8,6,-2,2
19,5,-5,1,7,5,-2,2
19,6,-4,1,7,5,-2,2
19,7,-4,1,7,5,-2,2
19,8,-5,1,7,5,-2,2
19,9,-4,1,8,5,1,1
19,10,-4,2,7,3,-1,2
19,11,-4,2,3,4,-1,2
19,12,-4,1,0,4,0,2
19,13,-5,1,0,4,1,1
19,14,-3,1,2,4,-1,2
19,15,-3,3,18,2,1,0
20,1,-4,0,7,5,-2,2
20,2,-4,0,5,5,-3,2
20,3,-4,0,7,5,-2,2
20,4,-4,0,9,5,-3,2
20,5,-4,1,8,5,-3,2
20,6,-4,0,8,4,-3,2
20,7,-4,0,8,6,-3,2
20,8,-4,0,8,4,-3,2
20,9,-1,-1,17,6,4,1
20,10,-4,-1,12,5,1,2
20,11,-4,-1,7,6,-2,0
20,12,-3,-1,2,8,2,1
20,13,-4,1,2,-1,-5,1
20,14,-3,-2,7,7,-1,1
20,15,-3,1,-2,3,-4,1
21,1,-4,0,8,6,-2,2
21,2,-4,0,5,5,-3,2
21,3,-4,0,7,5,-2,2
21,4,-4,0,8,4,-3,2
21,5,-3,0,8,4,-2,3
21,6,-4,0,7,5,-2,2
21,7,-4,0,8,4,-2,2
21,8,-4,0,8,6,-2,2
21,9,-6,0,14,4,-4,1
21,10,-3,0,2,4,-1,1
21,11,-2,-1,1,7,2,1
21,12,-4,1,2,3,-5,1
21,13,-6,0,8,3,-7,1
21,14,-3,-1,2,6,2,1
21,15,-5,2,2,0,-5,1
22,1,-4,0,8,6,-2,2
22,2,-4,1,7,6,-3,2
22,3,-4,0,8,6,-2,2
22,4,-4,1,8,6,-3,2
22,5,-4,1,7,5,-2,2
22,6,-5,1,8,6,-2,2
22,7,-4,0,8,6,-2,2
22,8,-4,1,7,5,-2,2
22,9,-4,1,5,6,-2,2
22,10,-6,1,5,5,-6,1
22,11,-4,0,1,5,-5,2
22,12,-4,1,16,7,-1,2
22,13,-5,1,-5,4,-3,1
22,14,-5,1,7,3,-3,1
22,15,-2,1,2,6,3,0
23,1,-4,0,7,5,0,2
23,2,-5,0,5,4,-1,2
23,3,-4,0,9,4,-2,2
23,4,-5,-1,8,6,-2,2
23,5,-4,-1,9,5,-1,2
23,6,-4,0,8,4,-1,1
23,7,-4,0,8,4,-2,2
23,8,-4,0,8,4,0,2
23,9,-4,1,5,1,-2,1
23,10,-4,-1,5,7,-2,2
23,11,-6,0,10,2,-4,0
23,12,-4,0,17,4,0,1
23,13,-3,-1,9,6,3,1
23,14,-4,0,-3,5,-4,1
23,15,-2,1,4,2,2,1
24,1,-15,22,123,-98,1,-15
24,2,29,19,13,23,59,17
24,3,20,-14,38,1,44,-6
24,4,8,-12,23,16,7,-2
24,5,-2,1,16,3,7,-2
24,6,-2,2,22,0,8,-3
24,7,-1,2,21,1,7,-2
24,8,-4,3,19,1,5,-4
24,9,-4,1,19,4,4,-3
24,10,-6,3,4,-4,3,-4
24,11,-3,3,15,2,3,-4
24,12,-3,2,22,1,7,-3
24,13,-4,2,18,-1,5,-3
24,14,-5,3,3,-5,1,-4
24,15,-6,5,3,-7,1,-3
25,1,35,3,81,-26,135,6
25,2,3,-2,100,-5,37,14
25,3,15,-11,55,8,33,3
25,4,17,2,29,-18,35,14
25,5,1,-6,55,5,19,-11
25,6,11,-1,63,3,51,-13
25,7,14,-5,38,2,58,-3
25,8,12,-14,2,17,10,-1
25,9,25,-22,-1,27,31,1
25,10,24,-19,7,25,30,0
25,11,16,-15,10,20,19,-1
25,12,21,-12,23,14,23,0
25,13,-2,-2,9,1,0,0
25,14,-1,-2,-9,-1,-1,-1
25,15,-2,0,-7,-4,-1,0
26,1,49,-5,16,7,64,0
26,2,24,-30,28,46,33,-1
26,3,16,-20,22,31,26,0
26,4,15,1,5,3,26,1
26,5,1,15,14,-20,4,0
26,6,-13,11,-4,-11,-12,-1
26,7,-14,0,5,4,-15,-1
26,8,3,-2,-1,1,0,0
26,9,4,0,-3,1,5,0
26,10,2,1,4,-3,0,-1
26,11,3,1,-3,-2,2,-1
26,12,1,0,-3,-1,1,-1
26,13,-1,0,-10,-2,-1,-1
26,14,1,-1,2,1,3,-1
26,15,3,-4,-3,7,3,-1
27,1,12,-6,25,13,17,-1
27,2,10,-2,10,3,10,0
27,3,10,-1,16,6,13,-1
27,4,6,0,15,3,6,-1
27,5,7,-1,21,3,7,-1
27,6,8,-3,26,10,12,-2
27,7,5,-1,5,3,1,0
27,8,-9,5,6,-3,-10,0
27,9,-12,7,-10,-10,-15,-1
27,10,-12,13,-10,-17,-18,-1
27,11,-11,11,-4,-12,-13,-1
27,12,-14,7,10,-8,-18,-1
27,13,-4,0,5,1,-5,-1
27,14,-4,0,10,1,-2,-1
27,15,-3,0,-13,-1,-5,-1
28,1,17,-36,-29,-4,22,-66
28,2,-10,6,22,11,-13,6
28,3,-2,17,-5,-21,-7,3
28,4,-3,6,10,-6,-7,0
28,5,-17,-2,-2,5,-23,-1
28,6,-3,3,-3,-1,-4,-2
28,7,-2,2,2,-1,-4,-2
28,8,-4,3,3,-1,-7,-2
28,9,-4,2,8,0,-6,-1
28,10,-2,0,-3,2,-3,-1
28,11,-2,1,4,-2,-5,-2
28,12,-1,0,-9,0,-3,-1
28,13,-1,1,1,-2,-4,-2
28,14,0,-1,4,5,3,-1
28,15,-1,-1,-6,3,4,-1
29,1,-11,9,16,-17,-22,6
29,2,-17,4,10,-2,-28,-2
29,3,3,2,-2,-1,7,0
29,4,-11,6,4,-3,-10,-1
29,5,-18,7,-1,-8,-18,-1
29,6,-20,11,7,-9,-21,-1
29,7,-16,10,-7,-10,-20,-2
29,8,-16,9,-3,-11,-18,-2
29,9,-13,6,10,-5,-17,-2
29,10,-1,-1,-11,0,0,-1
29,11,-1,0,-1,2,-4,-2
29,12,-1,-1,8,1,1,-1
29,13,0,0,8,-1,-1,-1
29,14,-1,-1,10,3,1,-2
29,15,-1,-1,-2,1,2,-1
30,1,-36,-24,-6,87,-44,-34
30,2,10,-4,-2,9,15,-2
30,3,8,-6,3,8,11,-1
30,4,4,-5,8,8,8,-1
30,5,2,-1,1,4,3,-1
30,6,-2,0,10,-3,-3,-1
30,7,-4,2,4,-3,-5,0
30,8,-6,2,4,0,-8,-1
30,9,-2,0,9,1,-3,-1
30,10,-4,1,2,-3,-5,-2
30,11,-4,1,-16,-3,-5,-2
30,12,-2,0,19,3,0,-2
30,13,-4,1,10,-2,-3,-2
30,14,-1,-2,-4,-1,-3,-2
30,15,-1,0,-4,0,-3,-1
31,1,-22,12,-3,-14,-28,-2
31,2,-23,10,-4,-9,-25,-3
31,3,-22,11,-15,-11,-29,-2
31,4,-15,9,4,-9,-16,-2
31,5,-11,7,-4,-8,-15,-3
31,6,-6,2,-7,1,-7,-3
31,7,-2,-2,-11,3,-4,-2
31,8,-2,1,-9,-1,-2,-3
31,9,-2,1,4,0,1,-3
31,10,0,1,8,2,4,-3
31,11,-1,0,-5,0,1,-3
31,12,1,0,-4,2,0,-3
31,13,0,1,-4,-2,2,-4
31,14,-1,-1,-21,-2,-1,-4
31,15,0,1,-2,-2,0,-4
32,1,-29,-6,4,8,-32,-2
32,2,-24,5,-6,-7,-28,-1
32,3,-19,16,-5,-20,-14,-3
32,4,-22,13,-7,-15,-22,-4
32,5,-25,3,-1,-5,-27,-2
32,6,-17,-1,-3,1,-16,-3
32,7,-11,3,-2,-4,-9,-2
32,8,-1,0,3,0,4,-3
32,9,-3,-1,-18,-1,1,-2
32,10,-3,-1,-3,-3,1,-3
32,11,-3,0,-13,0,0,-3
32,12,-4,1,5,-2,2,-3
32,13,-3,0,-20,-1,2,-4
32,14,-2,-2,2,-3,3,-4
32,15,-1,-1,-10,0,6,-4
33,1,59,-6,46,41,191,-14
33,2,32,-2,47,22,112,-23
33,3,43,9,23,-6,144,-30
33,4,30,0,56,11,125,-35
33,5,28,7,45,0,114,-27
33,6,22,5,31,0,89,-23
33,7,18,7,52,2,75,-19
33,8,-2,3,12,-6,-14,-1
33,9,0,1,12,-8,-9,-4
33,10,1,3,23,4,-3,-1
33,11,-1,0,6,-6,-13,-1
33,12,1,-1,13,-9,-9,0
33,13,2,0,-3,-13,-13,-3
33,14,0,1,3,-19,-17,-2
33,15,0,1,-1,-11,-17,-2
34,1,25,12,40,-29,61,-5
34,2,66,45,98,-107,158,1
34,3,-3,-1,8,-13,-1,2
34,4,-4,2,-1,-12,-14,0
34,5,-4,2,18,0,-4,0
34,6,-5,-2,24,1,-16,-5
34,7,-4,2,25,0,-13,-8
34,8,-2,0,5,-8,-14,-6
34,9,-1,2,19,2,-12,-6
34,10,2,-2,-27,-19,-30,-3
34,11,11,3,-30,6,-4,3
34,12,22,10,-32,7,42,22
34,13,15,2,-240,36,38,0
34,14,13,-2,-193,32,37,-10
34,15,3,-14,-210,26,11,-68
35,1,19,30,44,-117,37,40
35,2,-32,7,23,-7,-66,0
35,3,-9,10,-14,-19,-1,0
35,4,-11,3,-13,-7,-9,-2
35,5,-9,6,4,-10,1,-1
35,6,-8,-2,8,-1,-2,0
35,7,-2,0,2,-2,9,-3
35,8,-2,0,7,-2,5,-1
35,9,-8,1,3,-9,-5,0
35,10,-4,1,14,-7,2,0
35,11,-4,2,0,-10,4,-1
35,12,78,1,91,37,250,-54
35,13,4,-1,7,-13,-10,-6
35,14,2,0,-13,-16,-15,-5
35,15,2,1,-1,-15,-18,-4
36,1,16,16,31,-26,69,-27
36,2,12,8,11,-29,54,-26
36,3,-9,5,24,-9,-15,-5
36,4,-6,0,15,0,-21,17
36,5,-4,-2,2,-8,-17,-14
36,6,-9,6,22,-10,-10,-28
36,7,-7,6,27,2,-12,8
36,8,-2,1,16,0,-9,-1
36,9,0,-1,16,3,-4,-2
36,10,0,-1,25,3,-2,-1
36,11,0,-2,17,5,-1,-3
36,12,-1,1,27,-1,-2,-3
36,13,0,2,10,-11,-8,-4
36,14,-1,0,-8,-10,-15,-4
36,15,0,1,5,-7,-9,-3
37,1,-19,4,47,-47,-57,-30
37,2,-28,31,30,-135,-78,-40
37,3,-31,34,45,-167,-91,-49
37,4,-24,42,50,-221,-82,-42
37,5,-16,55,35,-266,-52,-23
37,6,0,1,22,-4,9,9
37,7,-7,8,21,-14,0,-2
37,8,0,4,22,-7,-26,15
37,9,-2,0,16,-7,8,-3
37,10,-1,-1,11,2,5,-2
37,11,-1,1,15,2,2,-2
37,12,-1,0,18,6,5,-2
37,13,-3,-1,17,3,2,-2
37,14,-2,1,-5,1,-2,-2
37,15,-2,0,10,4,1,-3
38,1,15,-13,-4,39,-31,84
38,2,-14,3,1,-4,-87,-10
38,3,-27,5,-17,-27,-23,-5
38,4,-19,4,6,-4,-13,-2
38,5,-8,0,14,-10,12,-5
38,6,-2,-2,6,-4,15,-6
38,7,-2,-1,11,-7,10,-2
38,8,-2,-1,11,-6,5,-2
38,9,-2,-1,10,-5,6,-2
38,10,-2,-1,9,-6,6,-2
38,11,-2,0,9,-5,5,-2
38,12,-2,0,11,-6,5,-2
38,13,-2,0,9,-6,6,-2
38,14,-2,-1,12,-5,5,-2
38,15,-2,-1,11,-6,5,-2
39,1,40,-13,27,26,55,1
39,2,32,-4,31,5,49,0
39,3,27,-8,36,16,42,0
39,4,20,-14,22,24,31,-1
39,5,20,-13,15,22,27,-1
39,6,16,-6,30,13,24,-2
39,7,13,0,34,4,21,-1
39,8,1,0,4,2,-1,-1
39,9,1,-1,23,7,-1,-1
39,10,0,0,19,5,3,-1
39,11,0,0,18,1,-2,-1
39,12,24,-217,179,1016,339,-233
39,13,-14,-7,-32,14,1,-53
39,14,-70,-12,18,8,-153,-8
39,15,-4,1,9,-7,-3,-1
40,1,-12,-5,20,-3,-24,0
40,2,0,17,11,-31,-5,-1
40,3,-1,9,32,-9,6,-1
40,4,-10,0,23,8,-11,0
40,5,-3,0,18,4,-4,-2
40,6,-4,1,13,2,-3,-2
40,7,-4,2,10,1,-7,-2
40,8,-4,2,19,-1,-10,-2
40,9,-4,2,17,2,-3,-2
40,10,-4,2,27,2,-6,-2
40,11,-2,0,5,1,-6,-1
40,12,-1,0,23,3,0,-2
40,13,0,-1,3,2,-5,-1
40,14,-2,0,23,2,-5,-1
40,15,-4,2,15,-1,-9,-2
41,1,-13,-7,18,19,-15,0
41,2,-11,3,10,-5,-17,-2
41,3,-9,8,18,-11,-13,-2
41,4,-9,9,17,-11,-16,-1
41,5,-12,5,20,-2,-16,-2
41,6,-13,-2,18,6,-19,-1
41,7,-11,2,13,-2,-18,0
41,8,-3,0,22,2,0,-2
41,9,-4,1,24,-1,-8,-1
41,10,-3,0,15,2,-9,-2
41,11,-4,2,24,-3,-8,-2
41,12,-3,0,23,2,-8,-2
41,13,-4,2,13,-1,-8,-2
41,14,-2,-1,22,2,-2,-2
41,15,-2,-1,22,2,-2,-2
42,1,-53,16,-17,-39,-98,-22
42,2,-48,19,8,-32,-61,3
42,3,-40,19,12,-29,-55,-2
42,4,-31,16,6,-32,-23,-5
42,5,-22,8,-2,-17,-11,-4
42,6,-6,0,-15,-6,2,-4
42,7,-5,-2,-6,-5,6,-3
42,8,-5,-1,8,-4,10,-3
42,9,-2,-2,-5,-6,15,-2
42,10,-4,-1,8,-3,15,-1
42,11,-4,-2,7,-7,18,-4
42,12,-8,-1,-24,-7,4,-5
42,13,4,-8,-165,9,23,-5
42,14,4,-9,-165,9,24,-5
42,15,5,-9,-164,7,24,-6
43,1,-39,3,11,5,-67,-2
43,2,-34,31,17,-60,-62,-16
43,3,-20,30,17,-51,-38,15
43,4,-7,1,14,-16,-17,-8
43,5,-4,5,21,-10,-13,-4
43,6,1,6,18,-13,2,-4
43,7,-1,10,16,-24,-4,-8
43,8,8,-1,23,5,10,-2
43,9,7,-1,18,5,7,-1
43,10,2,-3,28,7,3,-2
43,11,0,-5,15,9,-2,-1
43,12,-1,-6,20,11,-2,-2
43,13,1,-1,17,5,0,-2
43,14,0,1,26,2,-2,-1
43,15,-5,0,20,-3,-11,-3
44,1,-15,22,123,-98,1,-15
44,2,29,19,13,23,59,17
44,3,20,-14,38,1,44,-6
44,4,8,-12,23,16,7,-2
44,5,-2,1,16,3,7,-2
44,6,-2,2,22,0,8,-3
44,7,-1,2,21,1,7,-2
44,8,-4,3,19,1,5,-4
44,9,-4,1,19,4,4,-3
44,10,-6,3,4,-4,3,-4
44,11,-3,3,15,2,3,-4
44,12,-3,2,22,1,7,-3
44,13,-4,2,18,-1,5,-3
44,14,-5,3,3,-5,1,-4
44,15,-6,5,3,-7,1,-3
45,1,-46,66,-21,-115,-11,-1
45,2,-71,3,8,-15,-78,-2
45,3,-79,9,13,-3,-111,-2
45,4,-44,29,-11,-36,-67,-3
45,5,-15,28,-6,-32,-15,-3
45,6,-15,7,9,0,-19,-2
45,7,-7,-11,30,23,-8,-2
45,8,-5,5,-1,-3,-4,-3
45,9,-6,3,2,1,-5,-3
45,10,-6,3,-1,2,-6,-2
45,11,-4,3,19,2,-1,-2
45,12,-5,3,2,-1,-5,-3
45,13,-4,2,8,2,-3,-3
45,14,-2,2,13,1,0,-2
45,15,-1,1,19,7,4,-3
46,1,-14,11,-10,-10,-19,-2
46,2,-9,4,4,-1,-11,-3
46,3,-12,-3,-6,12,-16,-3
46,4,-7,-2,-2,9,-8,-3
46,5,-3,-2,4,7,-2,-3
46,6,1,0,1,5,5,-3
46,7,1,-1,12,6,5,-3
46,8,1,1,4,2,5,-4
46,9,1,2,-10,1,2,-3
46,10,-1,0,10,3,3,-3
46,11,1,1,9,6,8,-4
46,12,0,1,4,4,7,-3
46,13,-1,0,10,3,3,-3
46,14,1,1,9,6,8,-4
46,15,0,1,4,4,7,-3
47,1,20,-16,9,26,29,-1
47,2,24,-3,30,8,38,-4
47,3,27,-9,-2,19,40,-2
47,4,27,-13,17,20,39,-2
47,5,20,-13,3,22,29,-1
47,6,16,-11,21,19,29,-3
47,7,20,-7,12,17,33,-2
47,8,-1,0,-8,4,2,-4
47,9,-1,0,2,4,4,-4
47,10,1,0,2,3,7,-3
47,11,-1,2,-1,0,4,-4
47,12,0,0,6,3,6,-4
47,13,-3,3,-5,-1,-5,-5
47,14,-3,1,-8,1,-2,-5
47,15,-1,1,-3,4,0,-5
48,1,30,-30,34,43,45,0
48,2,42,-31,26,47,63,-1
48,3,37,-21,14,29,53,-1
48,4,26,-14,20,16,40,-1
48,5,26,-14,16,19,41,-2
48,6,26,-18,9,27,42,-1
48,7,22,-13,9,18,35,-1
48,8,-1,0,2,-1,5,-4
48,9,-2,1,2,-2,1,-4
48,10,-1,-1,-1,1,2,-3
48,11,-2,0,10,-1,1,-2
48,12,-2,0,1,-1,0,-3
48,13,-1,0,2,-1,5,-4
48,14,-2,1,2,-2,1,-4
48,15,-1,-1,-1,1,2,-3
49,1,-74,30,55,-149,-163,20
49,2,-38,53,0,-83,-93,1
49,3,-47,10,-26,31,-67,-1
49,4,-57,21,16,-18,-70,-4
49,5,-55,21,5,-36,-68,-2
49,6,-42,24,-2,-36,-51,-4
49,7,-39,23,2,-30,-47,-4
49,8,3,-3,8,4,8,-3
49,9,1,-1,16,4,9,-3
49,10,1,-1,3,1,6,-3
49,11,1,-1,7,2,6,-3
49,12,1,-2,-6,4,7,-2
49,13,-2,1,5,-3,1,-4
49,14,-1,1,-4,-2,2,-4
